نام روستا,نام شهرستان,سال اعتبار,فنی,تصویب,ابلاغ
پايين جاده,قائم شهر,1402,,,
پايين دسته رکن کلا,سيمرغ,1400,1401/09/23,1402/05/16,1402/07/24
زاهدكلا,قائم شهر,1400,1402/08/27,1402/12/07,1403/03/07
كاسگر كلا,قائم شهر,1400,1403/06/28,,
موارم كلا,قائم شهر,1402,,,
كاردگرخطير,قائم شهر,1400,1402/01/28,,
خطيركلا,قائم شهر,1402,,,
موسي خيل,قائم شهر,1402,,,
قلزمكلا,قائم شهر,1402,,,
حاجي كلا,قائم شهر,1402,,,
ساروكلا,قائم شهر,1400,1402/05/28,,
حسن اباد,محمودآباد,1400,1402/09/08,1402/11/09,1403/01/19
تلارم,محمودآباد,1400,1401/08/15,1402/03/01,1402/04/03
عشق اباد,محمودآباد,1400,1401/07/24,1401/12/22,1402/02/10
كرچك لاريجاني,محمودآباد,1403,,,
كرچك نوايي,محمودآباد,1403,,,
گيلاپي,محمودآباد,1400,1403/02/19,1403/07/10,
تازه اباد,محمودآباد,1400,1399/11/11,1400/07/02,1400/10/25
چاك سر,محمودآباد,1400,1400/01/22,1400/10/25,1401/12/24
حاجي كلا عليا,محمودآباد,1400,1401/08/15,1402/01/28,1402/01/29
حاجي كلاسفلي,محمودآباد,1400,1402/10/30,,
درويش اباد,محمودآباد,1401,1403/04/31,1403/07/10,
زرداب,محمودآباد,1400,1402/04/28,1402/07/10,1402/07/26
سياه كلا,محمودآباد,1403,,,
سيرجارون,محمودآباد,1400,,,
احمد اباد كليج سفلي,محمودآباد,1403,,,
احمدابادكليج عليا,محمودآباد,1402,,,
گل محله,محمودآباد,1402,,,
معلم كلا,محمودآباد,1403,,,
وازيك,محمودآباد,1400,1401/12/15,1402/03/29,1402/05/16
بيشه كلا,محمودآباد,1400,1402/09/18,1402/10/04,1403/03/27
درياسر,محمودآباد,1402,,,
ميان كلمرز,محمودآباد,1403,,,
ناصراباد,محمودآباد,1402,,,
زنگي كلا,محمودآباد,1400,1400/04/20,1401/09/12,1403/04/23
اهنگركلا,محمودآباد,1400,1400/04/20,1401/09/12,1403/04/23
سيرجارون,محمودآباد,1402,,,
عبداله اباد,محمودآباد,1401,1403/07/14,,
ملاكلا,محمودآباد,1402,,,
اورطه دشت,محمودآباد,1402,1403/07/14,,
گرگتج,نكا,1402,,,
تلم,نكا,1403,,,
سنگر,نكا,1403,,,
اجند,نكا,1400,1401/08/08,1401/11/08,1401/12/23
اسماعيل اقامحله,نكا,1401,1402/04/17,1402/07/03,1402/08/09
پوروا,نكا,1402,,,
تازه آباد بستان خيل,نكا,1403,,,
چلمردي,نكا,1401,1402/08/06,1402/09/27,1402/11/09
خانه سر,نكا,1400,1402/04/31,1402/07/19,1403/01/19
درويشان,نكا,1402,,,
دوراب,نكا,1403,,,
دوقانلو,نكا,1401,1402/09/08,1402/10/04,1403/04/04
سه كيله,نكا,1401,1402/04/17,1402/06/29,1402/08/04
سياوش كلا,نكا,1402,,,
شهاب الدين,نكا,1400,1402/04/17,1402/06/29,1402/12/23
گلبستان,نكا,1400,1401/08/25,1402/01/21,1402/11/30
گل خيل,نكا,1400,1401/08/25,1401/10/03,1402/02/20
گلورد کوچک,نكا,1401,1402/07/05,1402/09/27,1402/10/17
گيل اباد,نكا,1402,,,
للرد,نكا,1402,,,
لاک تراش,نكا,1402,,,
ملاخيل پوروا,نكا,1401,1402/07/05,1402/08/15,1402/10/17
نيم چاه,نكا,1401,1402/08/06,1402/09/27,1403/06/05
ولاشد,نكا,1403,,,
سوته خيل,نكا,1402,,,
کارکم,نكا,1403,,,
لايي رودبار,نكا,1403,,,
اكرد,نكا,1401,,,
پجت,نكا,1400,1402/02/23,1402/03/22,1402/05/31
چناربن,نكا,1401,1402/07/05,1402/08/29,1402/10/17
رودبارمحله,نكا,1401,1403/02/19,1403/05/08,1403/06/19
سارم,نكا,1402,,,
ولامده,نكا,1400,1401/08/08,1401/09/05,1401/10/11
چمان,نكا,1401,1402/04/31,1402/06/29,1402/08/09
كوهساركنده,نكا,1401,1402/04/31,1402/06/29,1402/08/04
ولاشدپائين,نكا,1401,1402/04/31,1402/07/03,1402/08/04
دنگ سرك,نكا,1403,,,
نوذراباد,نكا,1403,,,
زرندين سفلي,نكا,1403,,,
بريجان,نكا,1403,,,
وليجي محله,نكا,1403,,,
اومال,نكا,1403,,,
ميان گاله,نكا,1401,1403/08/02,,
چناربن,نكا,1401,1403/08/02,,
ياسل,نور,1400,1400/01/31,1400/12/07,1401/02/22
سادات محله,نور,1400,1400/01/30,1400/12/07,1402/02/28
كپسفلي,نور,1400,1402/10/27,1403/04/18,1403/05/29
اوز,نور,1401,,,
دوناي سفلي,نور,1403,,,
تاكر,نور,1401,1403/07/14,,
اميراباد,نور,1400,1401/09/04,1401/09/26,1401/11/11
باريكلا,نور,1402,,,
بريكلا,نور,1403,,,
بلويج,نور,1403,,,
تسبيح كلا,نور,1402,,,
توران كلا,نور,1401,,,
خطيب كلا,نور,1402,,,
داركلا,نور,1401,,,
سعادت اباد,نور,1401,1402/11/11,,
قاسم اباد,نور,1403,,,
گيلان ده,نور,1403,,,
ورازده سفلي,نور,1401,1403/07/14,,
ورازده عليا,نور,1402,,,
اسپي كلا,نور,1400,1403/02/17,,
اناده,نور,1402,,,
باغبان كلا,نور,1401,,,
چمازكلا,نور,1403,,,
شهربند,نور,1400,1401/09/04,1401/09/26,1401/11/11
عبدل ده,نور,1401,1402/11/11,,
كرداباد,نور,1400,1402/01/26,1402/04/21,1402/07/26
فولادكلا,نور,1401,1402/11/11,,
ميرنا,نور,1403,,,
كارد گركلا,نور,1400,1401/11/16,,
هندومرز,نور,1403,,,
شهرك امام خميني,نور,1402,,,
خطيب كلا,نور,1401,,,
رئيس كلا,نور,1401,,,
سادات محله,نور,1401,,,
كياكلا,نور,1401,,,
ملاكلا,نور,1401,,,
ملامحله,نور,1401,,,
دواب كجور,نوشهر,1400,1402/03/27,,
اطاق سرا,نوشهر,1403,,,
تاج الدين كلا,نوشهر,1402,,,
صلاح الدين كلا,نوشهر,1400,,,
بسطام,نوشهر,1400,1403/07/15,,
چتن,نوشهر,1401,1403/03/06,,
فيروزكلاسفلي,نوشهر,1403,,,
حمزه ده سفلي,نوشهر,1400,1401/07/24,1403/04/18,1403/05/21
حمزه ده عليا,نوشهر,1400,1401/03/22,1401/09/26,1401/11/17
حوض كتي,نوشهر,1401,,,
دزدك,نوشهر,1400,1402/03/27,1403/04/18,1403/04/31
كهنه سرا,نوشهر,1400,1401/11/26,1402/02/18,1402/06/13
ملكار,نوشهر,1400,1403/03/06,1403/04/18,1403/04/31
كردي كلا,نوشهر,1401,,,
كوركورسرعليا,نوشهر,1400,1400/07/22,1401/03/07,1402/08/09
ابندانك,نوشهر,1400,1402/10/06,1403/04/18,
بندپي,نوشهر,1400,1400/12/01,1401/07/09,1401/09/10
درزي كلا,نوشهر,1402,,,
نجارده,نوشهر,1400,1402/10/06,,
مزگا,نوشهر,1400,1402/12/02,1403/04/18,1403/07/21
خوشل,نوشهر,1400,1402/04/03,1402/11/02,1402/11/30
زانوس,نوشهر,1403,,,
اسلام اباد,نوشهر,1402,,,
كينچ,نوشهر,1400,1402/08/20,1402/11/02,1403/02/25
مونج,نوشهر,1403,,,
منوچهركلا,نوشهر,1400,,,
وازيوار,نوشهر,1400,,,
اويل,نوشهر,1402,,,
كشكك,نوشهر,1400,1401/12/07,1402/02/25,1403/02/08
كوهپرسفلي,نوشهر,1400,1402/12/02,,
خيرودكنار,نوشهر,1403,,,
چاري,عباس آباد,1400,1402/04/17,,
تيلاكنار,عباس آباد,1400,1402/02/30,,
جيسادانيال,عباس آباد,1402,,,
دانيال,عباس آباد,1403,,,
كراتكوتي,عباس آباد,1400,,,
يالبندان سرا,عباس آباد,1403,,,
كاظم كلا,عباس آباد,1400,1401/11/23,1402/02/25,1402/05/21
گرداب,عباس آباد,1402,,,
مشهدي سرا,عباس آباد,1401,,,
سي بن,عباس آباد,1400,1401/04/01,1402/11/09,1402/12/24
وليكستان,عباس آباد,1400,1401/11/23,1402/02/25,1402/05/21
حمزه اباد,عباس آباد,1401,,,
سيدمحله,عباس آباد,1400,1402/09/22,,
